	TMEM45B	KCNJ11	KRT5	CDH3	MAPT	TYMS	MYBL2	FAM83D	ESR1	FOXC1	NAT1	SFRP1
GSM2528830	-0.8390128017065308	-1.1884200516955097	-1.5218920576764203	-0.9508043070195874	-1.9502191570207454	-0.8157621878875416	0.2583694208464694	-0.11292825995628814	-1.740173176192574	-0.8883448184101285	-1.16983998984451	-1.53365149674893
GSM2530511	0.11650064107152437	0.14041195138809154	-0.8837432780312003	-0.8350869958594009	0.44562799710590834	0.4982235450421393	-0.24329650852558032	0.026921475479597654	0.14359562093622968	0.32804450427744913	1.0096604758623031	0.4725787464309967
GSM2529478	0.7326759139821492	-0.11592335085012163	1.1688177014896006	1.0342077857226195	0.10482194608578808	-0.7808475861273994	-1.1545960487470401	-1.0125433813332174	-0.05982747151013265	0.9291358202040042	0.4026592503197073	2.5463757408452863
GSM2528452	1.3670176660621518	0.4256396766688882	0.2548771959217696	0.6543086693733086	0.48766564138374646	-0.4357326621937599	-0.5074705927726412	-0.6105782608785679	0.7308329250246636	0.061013833817246926	1.604981109677141	0.26795336892922944
GSM2531266	0.6557272282609625	0.8056518316573307	0.40525092192982004	-0.4160423230900867	-0.8790067493261522	1.2562858838990445	0.4355360438169399	0.4013658050085281	0.9892181036337584	-0.09167183394036942	-0.5370583881456058	0.29855653329834897
GSM2530710	2.7523046447321007	-0.43469685255837226	-0.05342008191618168	1.000714396965469	-0.3390068720459319	0.8555604756606167	0.9297311531795273	1.3537431449051158	-1.2520849423408087	0.1254729867221889	-0.7827480013459933	0.8647226457915931
GSM2530292	-0.5111289740711005	0.2946773515491615	0.10565101353609217	0.10849980039811383	0.5565726036948041	-0.26388381742628764	-0.026171892463022005	-0.1393373270411042	0.1744441858952688	0.6417372062647552	-1.3677448264989807	-0.5584489741738845
GSM2529643	1.7676226352394278	0.8052888037025016	0.817362648900712	-0.052243256202772675	1.120475070636111	0.7816054516198069	0.14328275228462536	-0.14190955303842992	-0.1790280196427201	0.6012876025731076	1.389978702834372	0.28899096622376946
GSM2530476	0.1114137162457082	0.616385659451467	1.208921767922345	1.0199624422101057	0.8583056566208923	-0.08722879347620183	-0.3081662756202794	-0.2904326314491975	-0.25628463361663717	0.3896312277054262	1.0453827840922658	0.520397550458741
GSM2531028	2.8140559020412725	1.1842465808684992	0.7757062674515368	0.8323392985522904	1.091223636565692	1.5268751105044087	0.26152844499028693	-0.012938581957714874	-0.07424507028288717	0.6603769232880347	-0.7538499033136222	0.7328673674742975
